Load Catalogue,Load Image,Generate Image Quads,Match Codes,Convert Index to Coords,Convert to WCS,Test WCS,Calculate Results,Total Time ,N,Found,Image Name,Image_FOV,Pixel Threshold,Match Tolerance,Target RA,Target DEC,Error RA,Error DEC
0.2154712677001953,0.29439592361450195,0.13079142570495605,0.000993490219116211,0.02009749412536621,0.0011017322540283203,0.05070781707763672,0.005884647369384766,0.5481040477752686,32.0,3.0,test_sets/60arcmin2.fits,1,5,0.01,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.27576589584350586,0.8466823101043701,0.07201194763183594,0.0009019374847412109,0.02393627166748047,0.0010058879852294922,0.061750173568725586,0.004929304122924805,1.0623798370361328,19.0,3.0,test_sets/60arcmin1.fits,1,5,0.01,9.999803372001027,9.999828433605323,3.110857262811351e-05,0.0014405718251566668
0.31749391555786133,0.43828916549682617,0.08304238319396973,0.0010292530059814453,0.03894662857055664,0.0019016265869140625,0.0913081169128418,0.00952768325805664,0.7226772308349609,22.0,3.0,test_sets/60arcmin3.fits,1,5,0.01,49.9996465299723,49.99964520620934,0.10207768684159646,0.058526748702000475
0.24098658561706543,0.30075907707214355,0.11916446685791016,0.002159595489501953,0.02213144302368164,0.0020570755004882812,0.05780339241027832,0.006078958511352539,0.5691869258880615,32.0,3.0,test_sets/60arcmin5.fits,1,5,0.01,99.99742626272653,84.99982183342513,1.5206142766544133,0.0035324707536261712
0.24761629104614258,0.3405916690826416,0.05077385902404785,0.0,0.014552831649780273,0.0028395652770996094,0.06349492073059082,0.007001399993896484,0.5113017559051514,20.0,3.0,test_sets/60arcmin6.fits,1,5,0.01,45.49998569552066,1.4998731159048344,0.45724826763736814,0.23961093147562829
0.23795413970947266,0.3206973075866699,0.5090916156768799,0.008801698684692383,0.025014877319335938,0.004187345504760742,0.07516789436340332,0.007534980773925781,1.0818171501159668,69.0,2.0,test_sets/60arcmin8.fits,1,5,0.01,0.10006825278618615,45.10000163639926,0.9757964497443695,0.10577584878808466
0.23200154304504395,0.3343956470489502,0.4771265983581543,0.006493568420410156,0.05746126174926758,0.003967761993408203,0.13237929344177246,0.0059430599212646484,1.1632111072540283,69.0,2.0,test_sets/60arcmin9.fits,1,5,0.01,37.94921382845839,55.999807869376774,0.002498741794276782,0.0008649318895379565
0.23188114166259766,0.31589388847351074,0.07965397834777832,0.0009999275207519531,0.020945072174072266,0.0020134449005126953,0.05425429344177246,0.006946563720703125,0.5228564739227295,24.0,3.0,test_sets/60arcmin10.fits,1,5,0.01,55.99966458124962,55.9997292183352,0.28732513066033505,0.20409095044193748
0.263866662979126,0.744175910949707,0.058168649673461914,0.0010135173797607422,0.019059181213378906,0.0,0.052419185638427734,0.0070416927337646484,0.9189636707305908,19.0,3.0,test_sets/60arcmin1.fits,1.0,5.0,0.01,9.999803372001027,9.999828433605323,3.110857262811351e-05,0.0014405718251566668
0.3581364154815674,0.4569816589355469,0.3046538829803467,0.0,0.029987573623657227,0.006014347076416016,0.07875800132751465,0.006726503372192383,0.9864747524261475,32.0,3.0,test_sets/60arcmin2.fits,1.0,5.0,0.01,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.34492039680480957,0.4146733283996582,0.25807857513427734,0.0,0.029866695404052734,0.004725456237792969,0.08105134963989258,0.003986358642578125,0.8908300399780273,32.0,3.0,test_sets/60arcmin2.fits,1.0,3.0,0.01,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.28011345863342285,0.35373878479003906,0.2540583610534668,0.0016465187072753906,0.02746295928955078,0.002984762191772461,0.07889580726623535,0.0056574344635009766,0.80867600440979,32.0,3.0,test_sets/60arcmin2.fits,1.0,3.0,0.005,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.22751259803771973,0.2920212745666504,0.11522769927978516,0.0009157657623291016,0.01711869239807129,0.0022399425506591797,0.05218052864074707,0.007032632827758789,0.542123556137085,32.0,3.0,test_sets/60arcmin5.fits,1.0,3.0,0.005,99.99742626272653,84.99982183342513,1.5206142766544133,0.0035324707536261712
0.036051034927368164,2.6401751041412354,0.4094080924987793,0.003365755081176758,0.040114402770996094,0.009003162384033203,0.07696700096130371,0.004318714141845703,3.4704842567443848,19.0,3.0,test_sets/60arcmin1.fits,1.0,10.0,0.05,9.999803372001027,9.999828433605323,3.110857262811351e-05,0.0014405718251566668
0.008000612258911133,1.0510542392730713,0.09431123733520508,0.0029823780059814453,0.00825643539428711,0.002007722854614258,0.015988588333129883,0.003994464874267578,1.2361438274383545,19.0,3.0,test_sets/60arcmin1.fits,1.0,10.0,0.05,9.999803372001027,9.999828433605323,3.110857262811351e-05,0.0014405718251566668
0.011700630187988281,0.46213555335998535,0.6531827449798584,0.007900238037109375,0.079254150390625,0.019033432006835938,0.175184965133667,0.0019805431365966797,1.6377956867218018,69.0,2.0,test_sets/60arcmin9.fits,1.0,10.0,0.05,37.94921382845839,55.999807869376774,1.4575405210672727,0.3796410912898409
0.006000995635986328,0.3807032108306885,0.20207476615905762,0.001981973648071289,0.009033441543579102,0.0029921531677246094,0.017998695373535156,0.004054546356201172,0.6833648681640625,32.0,3.0,test_sets/60arcmin2.fits,1.0,10.0,0.05,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.005998373031616211,0.3520996570587158,0.19476032257080078,0.0019876956939697266,0.0059773921966552734,0.0030066967010498047,0.01749587059020996,0.003942012786865234,0.649507999420166,32.0,3.0,test_sets/60arcmin2.fits,1.0,10.0,0.05,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.010737895965576172,0.36040592193603516,0.21020221710205078,0.0021185874938964844,0.008013486862182617,0.0,0.020038127899169922,0.002976655960083008,0.6718926429748535,32.0,3.0,test_sets/60arcmin2.fits,1.0,10.0,0.05,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.007938146591186523,0.35411667823791504,0.17685365676879883,0.0017871856689453125,0.006964683532714844,0.0029566287994384766,0.015997886657714844,0.0030508041381835938,0.6280105113983154,32.0,3.0,test_sets/60arcmin2.fits,1.0,10.0,0.05,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.009005308151245117,0.37929725646972656,0.5496804714202881,0.0049724578857421875,0.013055801391601562,0.0030066967010498047,0.029992341995239258,0.003025531768798828,1.1251220703125,60.0,3.0,test_sets/60arcmin2.fits,1.0,1.0,0.05,11.999574064037908,11.999461926490776,1.8254711550369507e-05,0.006645567821882636
0.007490873336791992,0.34750819206237793,0.2039334774017334,0.0009887218475341797,0.020002365112304688,0.0036458969116210938,0.039362192153930664,0.0040285587310791016,0.7010729312896729,32.0,3.0,test_sets/60arcmin2.fits,1.0,15.0,0.1,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.007003307342529297,0.38260626792907715,0.21365952491760254,0.0019941329956054688,0.009002447128295898,0.0020096302032470703,0.02267909049987793,0.0050923824310302734,0.7047929763793945,32.0,3.0,test_sets/60arcmin2.fits,1.0,10.0,0.03,11.999574064037908,11.999461926490776,0.01024397288305856,0.008944454779737043
0.05313706398010254,0.9914860725402832,0.07744121551513672,0.0029964447021484375,0.008000612258911133,0.0,0.018713712692260742,0.0040171146392822266,1.1424791812896729,19.0,3.0,test_sets/60arcmin1.fits,1.0,10.0,0.03,9.999803372001027,9.999828433605323,3.110857262811351e-05,0.0014405718251566668
